"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","115","TestAdminRep_GetAll","","Thu Sep 25 11:53:27 GMT 2025","passed","Thu Sep 25 11:53:27 GMT 2025","","AdminRepSuite","",""
"","49","Success","CollectionRepSuite","Thu Sep 25 11:53:23 GMT 2025","passed","Thu Sep 25 11:53:23 GMT 2025","","TestCollectionRep_Delete","",""
"","644","TestEventRep_GetEventsOfArtworkOnDate","","Thu Sep 25 11:53:25 GMT 2025","passed","Thu Sep 25 11:53:26 GMT 2025","","EventRepSuite","",""
"","706","TestEventRep_GetArtworkIDs","","Thu Sep 25 11:53:25 GMT 2025","passed","Thu Sep 25 11:53:26 GMT 2025","","EventRepSuite","",""
"","100","Duplicate login error","AdminRepSuite","Thu Sep 25 11:53:27 GMT 2025","passed","Thu Sep 25 11:53:27 GMT 2025","","TestAdminRep_Update","",""
"","125","Success","ArtworkRepSuite","Thu Sep 25 11:53:23 GMT 2025","passed","Thu Sep 25 11:53:24 GMT 2025","","TestArtworkRep_GetByID","",""
"","294","TestArtworkRep_Update","","Thu Sep 25 11:53:23 GMT 2025","passed","Thu Sep 25 11:53:24 GMT 2025","","ArtworkRepSuite","",""
"","36","Collection not found error","ArtworkRepSuite","Thu Sep 25 11:53:24 GMT 2025","passed","Thu Sep 25 11:53:24 GMT 2025","","TestArtworkRep_Add","",""
"","248","Success","EmployeeRepSuite","Thu Sep 25 11:53:24 GMT 2025","passed","Thu Sep 25 11:53:24 GMT 2025","","TestEmployeeRep_GetAll","",""
"","11","Not found","AuthorRepSuite","Thu Sep 25 11:53:24 GMT 2025","passed","Thu Sep 25 11:53:24 GMT 2025","","TestAuthorRep_Update","",""
"","107","Success","UserRepSuite","Thu Sep 25 11:53:25 GMT 2025","passed","Thu Sep 25 11:53:25 GMT 2025","","TestUserRep_Update","",""
"","307","TestArtworkRep_Add","","Thu Sep 25 11:53:23 GMT 2025","passed","Thu Sep 25 11:53:24 GMT 2025","","ArtworkRepSuite","",""
"","1705","TestEventRep_GetAllEvents","","Thu Sep 25 11:53:25 GMT 2025","passed","Thu Sep 25 11:53:27 GMT 2025","","EventRepSuite","",""
"","366","TestArtworkRep_GetAllArtworks","","Thu Sep 25 11:53:23 GMT 2025","passed","Thu Sep 25 11:53:24 GMT 2025","","ArtworkRepSuite","",""
"","527","Success","EventRepSuite","Thu Sep 25 11:53:25 GMT 2025","passed","Thu Sep 25 11:53:25 GMT 2025","","TestEventRep_GetArtworkIDs","",""
"","9","Not found","EmployeeRepSuite","Thu Sep 25 11:53:24 GMT 2025","passed","Thu Sep 25 11:53:24 GMT 2025","","TestEmployeeRep_Update","",""
"","10","Not found","EventRepSuite","Thu Sep 25 11:53:26 GMT 2025","passed","Thu Sep 25 11:53:26 GMT 2025","","TestEventRep_GetArtworkIDs","",""
"","34","Success","CollectionRepSuite","Thu Sep 25 11:53:23 GMT 2025","passed","Thu Sep 25 11:53:23 GMT 2025","","TestCollectionRep_Add","",""
"","294","TestUserRep_UpdateSubscribeToMailing","","Thu Sep 25 11:53:25 GMT 2025","passed","Thu Sep 25 11:53:25 GMT 2025","","UserRepSuite","",""
"","210","TestAuthorRep_GetAll","","Thu Sep 25 11:53:24 GMT 2025","passed","Thu Sep 25 11:53:24 GMT 2025","","AuthorRepSuite","",""
"","31","Update function returns error","AuthorRepSuite","Thu Sep 25 11:53:24 GMT 2025","passed","Thu Sep 25 11:53:24 GMT 2025","","TestAuthorRep_Update","",""
"","128","Duplicate error","ArtworkRepSuite","Thu Sep 25 11:53:24 GMT 2025","passed","Thu Sep 25 11:53:24 GMT 2025","","TestArtworkRep_Add","",""
"","211","TestUserRep_GetByID","","Thu Sep 25 11:53:25 GMT 2025","passed","Thu Sep 25 11:53:25 GMT 2025","","UserRepSuite","",""
"","47","Duplicate error","AuthorRepSuite","Thu Sep 25 11:53:24 GMT 2025","passed","Thu Sep 25 11:53:24 GMT 2025","","TestAuthorRep_Add","",""
"","45","Success","AuthorRepSuite","Thu Sep 25 11:53:24 GMT 2025","passed","Thu Sep 25 11:53:24 GMT 2025","","TestAuthorRep_Add","",""
"","17","Not found","UserRepSuite","Thu Sep 25 11:53:25 GMT 2025","passed","Thu Sep 25 11:53:25 GMT 2025","","TestUserRep_Delete","",""
"","12","Not found","CollectionRepSuite","Thu Sep 25 11:53:23 GMT 2025","passed","Thu Sep 25 11:53:23 GMT 2025","","TestCollectionRep_Update","",""
"","224","Success with empty filter","ArtworkRepSuite","Thu Sep 25 11:53:23 GMT 2025","passed","Thu Sep 25 11:53:24 GMT 2025","","TestArtworkRep_GetAllArtworks","",""
