"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38","Success","CollectionRepSuite","Sat Nov 22 06:30:39 UTC 2025","passed","Sat Nov 22 06:30:39 UTC 2025","","TestCollectionRep_Add","",""
"","291","TestArtworkRep_GetAllArtworks","","Sat Nov 22 06:30:39 UTC 2025","passed","Sat Nov 22 06:30:39 UTC 2025","","ArtworkRepSuite","",""
"","15","Not found","ArtworkRepSuite","Sat Nov 22 06:30:39 UTC 2025","passed","Sat Nov 22 06:30:39 UTC 2025","","TestArtworkRep_Delete","",""
"","1746","TestEventRep_AddArtworksToEvent","","Sat Nov 22 06:30:36 UTC 2025","passed","Sat Nov 22 06:30:38 UTC 2025","","EventRepSuite","",""
"","0","TestAuthorServ_Add","","Sat Nov 22 06:28:57 UTC 2025","passed","Sat Nov 22 06:28:57 UTC 2025","","AuthorServiceSuite","",""
"","0","TestSearcher_GetEvent","","Sat Nov 22 06:28:58 UTC 2025","passed","Sat Nov 22 06:28:58 UTC 2025","","SearcherServiceSuite","",""
"","83","Success","EmployeeRepSuite","Sat Nov 22 06:30:39 UTC 2025","passed","Sat Nov 22 06:30:40 UTC 2025","","TestEmployeeRep_Delete","",""
"","67","Success","AuthorRepSuite","Sat Nov 22 06:30:39 UTC 2025","passed","Sat Nov 22 06:30:39 UTC 2025","","TestAuthorRep_Update","",""
"","14","Not found","UserRepSuite","Sat Nov 22 06:30:39 UTC 2025","passed","Sat Nov 22 06:30:39 UTC 2025","","TestUserRep_Delete","",""
"","40","Success","CollectionRepSuite","Sat Nov 22 06:30:39 UTC 2025","passed","Sat Nov 22 06:30:39 UTC 2025","","TestCollectionRep_GetByID","",""
"","74","Duplicate ID error","EmployeeRepSuite","Sat Nov 22 06:30:40 UTC 2025","passed","Sat Nov 22 06:30:40 UTC 2025","","TestEmployeeRep_Add","",""
"","103","Success","ArtworkRepSuite","Sat Nov 22 06:30:39 UTC 2025","passed","Sat Nov 22 06:30:39 UTC 2025","","TestArtworkRep_Add","",""
"","1","TestUserService_GetSelf","","Sat Nov 22 06:28:58 UTC 2025","passed","Sat Nov 22 06:28:58 UTC 2025","","UserServiceSuite","",""
"","56","Success","UserRepSuite","Sat Nov 22 06:30:38 UTC 2025","passed","Sat Nov 22 06:30:39 UTC 2025","","TestUserRep_Delete","",""
