"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","TestMailingService_SendMailToAllUsers","","Wed Nov 19 08:50:26 UTC 2025","passed","Wed Nov 19 08:50:26 UTC 2025","","MailingServiceSuite","",""
"","84","Success","UserRepSuite","Wed Nov 19 08:51:59 UTC 2025","passed","Wed Nov 19 08:51:59 UTC 2025","","TestUserRep_GetByLogin","",""
"","0","TestEventServ_GetAll","","Wed Nov 19 08:50:26 UTC 2025","passed","Wed Nov 19 08:50:26 UTC 2025","","EventServiceSuite","",""
"","13","Not found","EventRepSuite","Wed Nov 19 08:52:02 UTC 2025","passed","Wed Nov 19 08:52:02 UTC 2025","","TestEventRep_GetArtworkIDs","",""
"","70","TestCollectionRep_GetByID","","Wed Nov 19 08:52:03 UTC 2025","passed","Wed Nov 19 08:52:03 UTC 2025","","CollectionRepSuite","",""
"","0","TestEventService_GetArtworksFromEvent","","Wed Nov 19 08:50:26 UTC 2025","passed","Wed Nov 19 08:50:26 UTC 2025","","EventServiceSuite","",""
"","1772","TestEventRep_GetEventsOfArtworkOnDate","","Wed Nov 19 08:52:00 UTC 2025","passed","Wed Nov 19 08:52:02 UTC 2025","","EventRepSuite","",""
"","103","Success - enable subscription","UserRepSuite","Wed Nov 19 08:51:59 UTC 2025","passed","Wed Nov 19 08:51:59 UTC 2025","","TestUserRep_UpdateSubscribeToMailing","",""
"","68","Duplicate login error","AdminRepSuite","Wed Nov 19 08:51:59 UTC 2025","passed","Wed Nov 19 08:51:59 UTC 2025","","TestAdminRep_Add","",""
"","16","Employee not found error","EventRepSuite","Wed Nov 19 08:52:01 UTC 2025","passed","Wed Nov 19 08:52:01 UTC 2025","","TestEventRep_Add","",""
"","20","Not found","UserRepSuite","Wed Nov 19 08:51:59 UTC 2025","passed","Wed Nov 19 08:51:59 UTC 2025","","TestUserRep_GetByLogin","",""
