"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","TestAuthUser_LoginUser","","Sat Nov 08 03:27:41 UTC 2025","passed","Sat Nov 08 03:27:41 UTC 2025","","AuthUserServiceSuite","",""
"","1738","TestEventRep_Add","","Sat Nov 08 03:29:20 UTC 2025","passed","Sat Nov 08 03:29:22 UTC 2025","","EventRepSuite","",""
"","1","TestMailingService_SendMailToAllUsers","","Sat Nov 08 03:27:43 UTC 2025","passed","Sat Nov 08 03:27:44 UTC 2025","","MailingServiceSuite","",""
"","100","Success","UserRepSuite","Sat Nov 08 03:29:23 UTC 2025","passed","Sat Nov 08 03:29:23 UTC 2025","","TestUserRep_Update","",""
"","9","Not found","AuthorRepSuite","Sat Nov 08 03:29:19 UTC 2025","passed","Sat Nov 08 03:29:20 UTC 2025","","TestAuthorRep_GetByID","",""
"","125","TestEmployeeRep_Delete","","Sat Nov 08 03:29:20 UTC 2025","passed","Sat Nov 08 03:29:20 UTC 2025","","EmployeeRepSuite","",""
"","132","TestAuthorRep_HasArtworks","","Sat Nov 08 03:29:19 UTC 2025","passed","Sat Nov 08 03:29:19 UTC 2025","","AuthorRepSuite","",""
"","2589","TestEventRep_SetNotValid","","Sat Nov 08 03:29:20 UTC 2025","passed","Sat Nov 08 03:29:23 UTC 2025","","EventRepSuite","",""
"","401","TestArtworkRep_GetAllArtworks","","Sat Nov 08 03:29:19 UTC 2025","passed","Sat Nov 08 03:29:19 UTC 2025","","ArtworkRepSuite","",""
"","1","TestCollectionServ_Add","","Sat Nov 08 03:27:43 UTC 2025","passed","Sat Nov 08 03:27:43 UTC 2025","","CollectionServiceSuite","",""
"","0","TestSearcher_GetAllArtworks","","Sat Nov 08 03:27:44 UTC 2025","passed","Sat Nov 08 03:27:44 UTC 2025","","SearcherServiceSuite","",""
"","7","Author not found","AuthorRepSuite","Sat Nov 08 03:29:19 UTC 2025","passed","Sat Nov 08 03:29:19 UTC 2025","","TestAuthorRep_HasArtworks","",""
"","117","Success","AdminRepSuite","Sat Nov 08 03:29:20 UTC 2025","passed","Sat Nov 08 03:29:20 UTC 2025","","TestAdminRep_GetAll","",""
"","190","TestUserRep_GetByLogin","","Sat Nov 08 03:29:23 UTC 2025","passed","Sat Nov 08 03:29:23 UTC 2025","","UserRepSuite","",""
"","9","Not found","EventRepSuite","Sat Nov 08 03:29:23 UTC 2025","passed","Sat Nov 08 03:29:23 UTC 2025","","TestEventRep_SetNotValid","",""
"","126","Event not found","EventRepSuite","Sat Nov 08 03:29:21 UTC 2025","passed","Sat Nov 08 03:29:21 UTC 2025","","TestEventRep_AddArtworksToEvent","",""
"","15","Not found","EventRepSuite","Sat Nov 08 03:29:21 UTC 2025","passed","Sat Nov 08 03:29:21 UTC 2025","","TestEventRep_Update","",""
"","1","TestAuthEmployee_RegisterEmployee","","Sat Nov 08 03:27:41 UTC 2025","passed","Sat Nov 08 03:27:41 UTC 2025","","AuthEmployeeServiceSuite","",""
"","267","TestUserRep_Delete","","Sat Nov 08 03:29:23 UTC 2025","passed","Sat Nov 08 03:29:23 UTC 2025","","UserRepSuite","",""
"","0","TestEventService_DeleteArtworkFromEvent","","Sat Nov 08 03:27:43 UTC 2025","passed","Sat Nov 08 03:27:43 UTC 2025","","EventServiceSuite","",""
"","58","TestCollectionRep_Delete","","Sat Nov 08 03:29:23 UTC 2025","passed","Sat Nov 08 03:29:23 UTC 2025","","CollectionRepSuite","",""
"","0","TestArtworkService_Update","","Sat Nov 08 03:27:40 UTC 2025","passed","Sat Nov 08 03:27:40 UTC 2025","","ArtworkServiceSuite","",""
"","142","TestAdminRep_Update","","Sat Nov 08 03:29:20 UTC 2025","passed","Sat Nov 08 03:29:20 UTC 2025","","AdminRepSuite","",""
"","86","Duplicate ID error","EmployeeRepSuite","Sat Nov 08 03:29:20 UTC 2025","passed","Sat Nov 08 03:29:20 UTC 2025","","TestEmployeeRep_Add","",""
"","19","Not found","EmployeeRepSuite","Sat Nov 08 03:29:20 UTC 2025","passed","Sat Nov 08 03:29:20 UTC 2025","","TestEmployeeRep_GetByLogin","",""
"","83","Success","AuthorRepSuite","Sat Nov 08 03:29:19 UTC 2025","passed","Sat Nov 08 03:29:19 UTC 2025","","TestAuthorRep_Update","",""
"","1","TestBuyTicketsServ_GetBuyTicketTransactionDuration","","Sat Nov 08 03:27:42 UTC 2025","passed","Sat Nov 08 03:27:42 UTC 2025","","BuyTicketsServiceSuite","",""
"","2510","TestEventRep_GetCollectionsStat","","Sat Nov 08 03:29:20 UTC 2025","passed","Sat Nov 08 03:29:23 UTC 2025","","EventRepSuite","",""
"","79","Duplicate login error","UserRepSuite","Sat Nov 08 03:29:23 UTC 2025","passed","Sat Nov 08 03:29:23 UTC 2025","","TestUserRep_Add","",""
"","1","TestAdminService_ChangeEmployeeRights","","Sat Nov 08 03:27:39 UTC 2025","passed","Sat Nov 08 03:27:39 UTC 2025","","AdminServiceSuite","",""
"","16","Not found","EmployeeRepSuite","Sat Nov 08 03:29:20 UTC 2025","passed","Sat Nov 08 03:29:20 UTC 2025","","TestEmployeeRep_GetByID","",""
"","255","TestAuthorRep_Update","","Sat Nov 08 03:29:19 UTC 2025","passed","Sat Nov 08 03:29:20 UTC 2025","","AuthorRepSuite","",""
"","122","TestUserRep_GetAllSubscribed","","Sat Nov 08 03:29:23 UTC 2025","passed","Sat Nov 08 03:29:23 UTC 2025","","UserRepSuite","",""
"","0","TestEventService_GetArtworksFromEvent","","Sat Nov 08 03:27:43 UTC 2025","passed","Sat Nov 08 03:27:43 UTC 2025","","EventServiceSuite","",""
"","0","TestArtworkService_Delete","","Sat Nov 08 03:27:40 UTC 2025","passed","Sat Nov 08 03:27:40 UTC 2025","","ArtworkServiceSuite","",""
"","1","TestAuthEmployee_LoginEmployee","","Sat Nov 08 03:27:41 UTC 2025","passed","Sat Nov 08 03:27:41 UTC 2025","","AuthEmployeeServiceSuite","",""
"","1","TestEventService_Add","","Sat Nov 08 03:27:43 UTC 2025","passed","Sat Nov 08 03:27:43 UTC 2025","","EventServiceSuite","",""
