"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53","Success","AuthorRepSuite","Mon Nov 03 13:58:58 GMT 2025","passed","Mon Nov 03 13:58:58 GMT 2025","","TestAuthorRep_Delete","",""
"","1077","Success with empty filter","EventRepSuite","Mon Nov 03 13:58:54 GMT 2025","passed","Mon Nov 03 13:58:55 GMT 2025","","TestEventRep_GetAllEvents","",""
"","213","TestAuthorRep_GetAll","","Mon Nov 03 13:58:57 GMT 2025","passed","Mon Nov 03 13:58:58 GMT 2025","","AuthorRepSuite","",""
"","224","TestUserRep_Delete","","Mon Nov 03 13:58:56 GMT 2025","passed","Mon Nov 03 13:58:57 GMT 2025","","UserRepSuite","",""
"","1992","TestEventRep_GetCollectionsStat","","Mon Nov 03 13:58:53 GMT 2025","passed","Mon Nov 03 13:58:55 GMT 2025","","EventRepSuite","",""
"","2","TestBuyTicketsServ_CancelBuyTicket","","Mon Nov 03 13:57:05 GMT 2025","passed","Mon Nov 03 13:57:05 GMT 2025","","BuyTicketsServiceSuite","",""
"","69","Success","AdminRepSuite","Mon Nov 03 13:58:56 GMT 2025","passed","Mon Nov 03 13:58:56 GMT 2025","","TestAdminRep_GetByID","",""
"","491","Artwork not found","EventRepSuite","Mon Nov 03 13:58:54 GMT 2025","passed","Mon Nov 03 13:58:55 GMT 2025","","TestEventRep_AddArtworksToEvent","",""
"","0","TestCollectionServ_Add","","Mon Nov 03 13:57:05 GMT 2025","passed","Mon Nov 03 13:57:05 GMT 2025","","CollectionServiceSuite","",""
"","11","Not found","AuthorRepSuite","Mon Nov 03 13:58:58 GMT 2025","passed","Mon Nov 03 13:58:58 GMT 2025","","TestAuthorRep_Update","",""
"","0","TestAuthorServ_Delete","","Mon Nov 03 13:56:59 GMT 2025","passed","Mon Nov 03 13:56:59 GMT 2025","","AuthorServiceSuite","",""
"","48","Success","AuthorRepSuite","Mon Nov 03 13:58:58 GMT 2025","passed","Mon Nov 03 13:58:58 GMT 2025","","TestAuthorRep_GetByID","",""
"","194","Empty result for event without artworks","EventRepSuite","Mon Nov 03 13:58:54 GMT 2025","passed","Mon Nov 03 13:58:54 GMT 2025","","TestEventRep_GetArtworkIDs","",""
"","0","TestAuthUser_VerifyByToken","","Mon Nov 03 13:56:58 GMT 2025","passed","Mon Nov 03 13:56:58 GMT 2025","","AuthUserServiceSuite","",""
"","106","Success","EmployeeRepSuite","Mon Nov 03 13:58:57 GMT 2025","passed","Mon Nov 03 13:58:57 GMT 2025","","TestEmployeeRep_Delete","",""
"","0","TestSearcher_GetCollectionsStat","","Mon Nov 03 13:57:06 GMT 2025","passed","Mon Nov 03 13:57:06 GMT 2025","","SearcherServiceSuite","",""
"","1","TestSearcher_GetAllEvents","","Mon Nov 03 13:57:06 GMT 2025","passed","Mon Nov 03 13:57:06 GMT 2025","","SearcherServiceSuite","",""
"","1","TestCollectionServ_Update","","Mon Nov 03 13:57:05 GMT 2025","passed","Mon Nov 03 13:57:05 GMT 2025","","CollectionServiceSuite","",""
"","14","Not found","UserRepSuite","Mon Nov 03 13:58:57 GMT 2025","passed","Mon Nov 03 13:58:57 GMT 2025","","TestUserRep_Delete","",""
"","687","TestEventRep_GetByID","","Mon Nov 03 13:58:53 GMT 2025","passed","Mon Nov 03 13:58:54 GMT 2025","","EventRepSuite","",""
"","0","TestAuthEmployee_RegisterEmployee","","Mon Nov 03 13:56:58 GMT 2025","passed","Mon Nov 03 13:56:58 GMT 2025","","AuthEmployeeServiceSuite","",""
