"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","TestAuthEmployee_VerifyByToken","","Mon Nov 03 18:31:30 GMT 2025","passed","Mon Nov 03 18:31:30 GMT 2025","","AuthEmployeeServiceSuite","",""
"","368","Success","EventRepSuite","Mon Nov 03 18:33:22 GMT 2025","passed","Mon Nov 03 18:33:22 GMT 2025","","TestEventRep_AddArtworksToEvent","",""
"","1","TestAuthAdmin_LoginAdmin","","Mon Nov 03 18:31:30 GMT 2025","passed","Mon Nov 03 18:31:30 GMT 2025","","AuthAdminServiceSuite","",""
"","422","TestEmployeeRep_Add","","Mon Nov 03 18:33:21 GMT 2025","passed","Mon Nov 03 18:33:22 GMT 2025","","EmployeeRepSuite","",""
"","31","Update function returns error","AuthorRepSuite","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","TestAuthorRep_Update","",""
"","581","Success","EventRepSuite","Mon Nov 03 18:33:23 GMT 2025","passed","Mon Nov 03 18:33:24 GMT 2025","","TestEventRep_Update","",""
"","0","TestAuthorServ_Add","","Mon Nov 03 18:31:31 GMT 2025","passed","Mon Nov 03 18:31:31 GMT 2025","","AuthorServiceSuite","",""
"","1286","TestEventRep_Delete","","Mon Nov 03 18:33:22 GMT 2025","passed","Mon Nov 03 18:33:23 GMT 2025","","EventRepSuite","",""
"","107","Success - disable subscription","UserRepSuite","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","TestUserRep_UpdateSubscribeToMailing","",""
"","50","Success","UserRepSuite","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","TestUserRep_Add","",""
"","16","Not found","EmployeeRepSuite","Mon Nov 03 18:33:21 GMT 2025","passed","Mon Nov 03 18:33:21 GMT 2025","","TestEmployeeRep_Delete","",""
"","100","Duplicate login error","AdminRepSuite","Mon Nov 03 18:33:26 GMT 2025","passed","Mon Nov 03 18:33:26 GMT 2025","","TestAdminRep_Update","",""
"","55","Success","AdminRepSuite","Mon Nov 03 18:33:26 GMT 2025","passed","Mon Nov 03 18:33:26 GMT 2025","","TestAdminRep_GetByID","",""
"","201","Empty result for event without artworks","EventRepSuite","Mon Nov 03 18:33:23 GMT 2025","passed","Mon Nov 03 18:33:23 GMT 2025","","TestEventRep_GetCollectionsStat","",""
"","72","TestCollectionRep_Delete","","Mon Nov 03 18:33:21 GMT 2025","passed","Mon Nov 03 18:33:21 GMT 2025","","CollectionRepSuite","",""
"","23","Employee does not exist","EventRepSuite","Mon Nov 03 18:33:22 GMT 2025","passed","Mon Nov 03 18:33:22 GMT 2025","","TestEventRep_CheckEmployeeByID","",""
"","17","Not found","EventRepSuite","Mon Nov 03 18:33:24 GMT 2025","passed","Mon Nov 03 18:33:24 GMT 2025","","TestEventRep_Update","",""
"","102","Has artworks - true","AuthorRepSuite","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","TestAuthorRep_HasArtworks","",""
"","48","Success","AuthorRepSuite","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","TestAuthorRep_Add","",""
"","225","TestUserRep_UpdateSubscribeToMailing","","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","UserRepSuite","",""
"","535","Success","EventRepSuite","Mon Nov 03 18:33:24 GMT 2025","passed","Mon Nov 03 18:33:24 GMT 2025","","TestEventRep_SetNotValid","",""
"","1","TestArtworkServ_GetAll","","Mon Nov 03 18:31:30 GMT 2025","passed","Mon Nov 03 18:31:30 GMT 2025","","ArtworkServiceSuite","",""
"","17","Not found","ArtworkRepSuite","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","TestArtworkRep_Update","",""
"","10","Not found","EmployeeRepSuite","Mon Nov 03 18:33:22 GMT 2025","passed","Mon Nov 03 18:33:22 GMT 2025","","TestEmployeeRep_Update","",""
"","164","TestEmployeeRep_GetByLogin","","Mon Nov 03 18:33:21 GMT 2025","passed","Mon Nov 03 18:33:21 GMT 2025","","EmployeeRepSuite","",""
"","33","Collection not found error","ArtworkRepSuite","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:26 GMT 2025","","TestArtworkRep_Add","",""
"","13","Not found","UserRepSuite","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","TestUserRep_Update","",""
"","15","Not found","UserRepSuite","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","TestUserRep_UpdateSubscribeToMailing","",""
"","15","Not found","EventRepSuite","Mon Nov 03 18:33:24 GMT 2025","passed","Mon Nov 03 18:33:24 GMT 2025","","TestEventRep_SetNotValid","",""
"","43","Duplicate error","CollectionRepSuite","Mon Nov 03 18:33:21 GMT 2025","passed","Mon Nov 03 18:33:21 GMT 2025","","TestCollectionRep_Add","",""
"","528","Success","EventRepSuite","Mon Nov 03 18:33:23 GMT 2025","passed","Mon Nov 03 18:33:23 GMT 2025","","TestEventRep_GetEventsOfArtworkOnDate","",""
"","259","TestAuthorRep_GetAll","","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","AuthorRepSuite","",""
"","145","Success","EmployeeRepSuite","Mon Nov 03 18:33:21 GMT 2025","passed","Mon Nov 03 18:33:21 GMT 2025","","TestEmployeeRep_GetByLogin","",""
"","121","TestAuthorRep_Update","","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","AuthorRepSuite","",""
"","2","TestSearcher_GetEvent","","Mon Nov 03 18:31:32 GMT 2025","passed","Mon Nov 03 18:31:32 GMT 2025","","SearcherServiceSuite","",""
"","70","Duplicate login error","AdminRepSuite","Mon Nov 03 18:33:26 GMT 2025","passed","Mon Nov 03 18:33:26 GMT 2025","","TestAdminRep_Add","",""
"","0","TestAdminService_ChangeEmployeeRights","","Mon Nov 03 18:31:30 GMT 2025","passed","Mon Nov 03 18:31:30 GMT 2025","","AdminServiceSuite","",""
"","638","Success","EventRepSuite","Mon Nov 03 18:33:22 GMT 2025","passed","Mon Nov 03 18:33:23 GMT 2025","","TestEventRep_GetCollectionsStat","",""
"","212","Empty result for event without artworks","EventRepSuite","Mon Nov 03 18:33:24 GMT 2025","passed","Mon Nov 03 18:33:24 GMT 2025","","TestEventRep_GetArtworkIDs","",""
"","107","Success","UserRepSuite","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","TestUserRep_Update","",""
"","0","TestCollectionServ_Delete","","Mon Nov 03 18:31:31 GMT 2025","passed","Mon Nov 03 18:31:31 GMT 2025","","CollectionServiceSuite","",""
"","18","Employee not found error","EventRepSuite","Mon Nov 03 18:33:23 GMT 2025","passed","Mon Nov 03 18:33:23 GMT 2025","","TestEventRep_Add","",""
"","68","Success","UserRepSuite","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","TestUserRep_Delete","",""
"","7","Author not found","AuthorRepSuite","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","TestAuthorRep_HasArtworks","",""
"","0","TestAuthUser_VerifyByToken","","Mon Nov 03 18:31:30 GMT 2025","passed","Mon Nov 03 18:31:30 GMT 2025","","AuthUserServiceSuite","",""
"","54","Success","CollectionRepSuite","Mon Nov 03 18:33:21 GMT 2025","passed","Mon Nov 03 18:33:21 GMT 2025","","TestCollectionRep_GetByID","",""
"","145","Employee exists","EventRepSuite","Mon Nov 03 18:33:22 GMT 2025","passed","Mon Nov 03 18:33:22 GMT 2025","","TestEventRep_CheckEmployeeByID","",""
"","1","TestSearcher_GetCollectionsStat","","Mon Nov 03 18:31:32 GMT 2025","passed","Mon Nov 03 18:31:32 GMT 2025","","SearcherServiceSuite","",""
"","119","Success","EmployeeRepSuite","Mon Nov 03 18:33:21 GMT 2025","passed","Mon Nov 03 18:33:21 GMT 2025","","TestEmployeeRep_Add","",""
"","97","TestAuthorRep_Add","","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","AuthorRepSuite","",""
"","7","Not found","AdminRepSuite","Mon Nov 03 18:33:26 GMT 2025","passed","Mon Nov 03 18:33:26 GMT 2025","","TestAdminRep_GetByID","",""
"","1","TestAuthUser_RegisterUser","","Mon Nov 03 18:31:30 GMT 2025","passed","Mon Nov 03 18:31:30 GMT 2025","","AuthUserServiceSuite","",""
"","15","Not found","CollectionRepSuite","Mon Nov 03 18:33:21 GMT 2025","passed","Mon Nov 03 18:33:21 GMT 2025","","TestCollectionRep_GetByID","",""
"","1","TestAuthorServ_GetAll","","Mon Nov 03 18:31:31 GMT 2025","passed","Mon Nov 03 18:31:31 GMT 2025","","AuthorServiceSuite","",""
"","12","Author not found error","ArtworkRepSuite","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","TestArtworkRep_Add","",""
"","1","TestEventService_GetArtworksFromEvent","","Mon Nov 03 18:31:32 GMT 2025","passed","Mon Nov 03 18:31:32 GMT 2025","","EventServiceSuite","",""
"","125","Event not found","EventRepSuite","Mon Nov 03 18:33:23 GMT 2025","passed","Mon Nov 03 18:33:23 GMT 2025","","TestEventRep_AddArtworksToEvent","",""
"","95","TestAdminRep_GetByLogin","","Mon Nov 03 18:33:26 GMT 2025","passed","Mon Nov 03 18:33:26 GMT 2025","","AdminRepSuite","",""
"","156","Success","ArtworkRepSuite","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","TestArtworkRep_Update","",""
"","2","TestBuyTicketsServ_GetAllTicketPurchasesOfUser","","Mon Nov 03 18:31:31 GMT 2025","passed","Mon Nov 03 18:31:31 GMT 2025","","BuyTicketsServiceSuite","",""
"","17","Not found","EventRepSuite","Mon Nov 03 18:33:24 GMT 2025","passed","Mon Nov 03 18:33:24 GMT 2025","","TestEventRep_GetArtworkIDs","",""
"","17","Not found","EventRepSuite","Mon Nov 03 18:33:23 GMT 2025","passed","Mon Nov 03 18:33:23 GMT 2025","","TestEventRep_Delete","",""
"","161","TestEmployeeRep_GetByID","","Mon Nov 03 18:33:21 GMT 2025","passed","Mon Nov 03 18:33:21 GMT 2025","","EmployeeRepSuite","",""
"","295","TestUserRep_Add","","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","UserRepSuite","",""
"","152","Success with title filter","ArtworkRepSuite","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:26 GMT 2025","","TestArtworkRep_GetAllArtworks","",""
"","84","Duplicate login error","UserRepSuite","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","TestUserRep_Update","",""
"","1815","TestEventRep_GetByID","","Mon Nov 03 18:33:22 GMT 2025","passed","Mon Nov 03 18:33:24 GMT 2025","","EventRepSuite","",""
"","626","Duplicate artwork error","EventRepSuite","Mon Nov 03 18:33:22 GMT 2025","passed","Mon Nov 03 18:33:23 GMT 2025","","TestEventRep_AddArtworksToEvent","",""
"","351","TestArtworkRep_Add","","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:26 GMT 2025","","ArtworkRepSuite","",""
"","524","TestEmployeeRep_Update","","Mon Nov 03 18:33:21 GMT 2025","passed","Mon Nov 03 18:33:22 GMT 2025","","EmployeeRepSuite","",""
"","2788","TestEventRep_GetAllEvents","","Mon Nov 03 18:33:22 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","EventRepSuite","",""
"","117","TestUserRep_GetAllSubscribed","","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","UserRepSuite","",""
"","0","TestAuthZ_Authz_GetEmployeeID","","Mon Nov 03 18:31:30 GMT 2025","passed","Mon Nov 03 18:31:30 GMT 2025","","AuthZServiceSuite","",""
"","4","TestBuyTicketsServ_BuyTicket","","Mon Nov 03 18:31:31 GMT 2025","passed","Mon Nov 03 18:31:31 GMT 2025","","BuyTicketsServiceSuite","",""
"","15","Not found","ArtworkRepSuite","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","TestArtworkRep_Delete","",""
"","1664","TestEventRep_GetEventsOfArtworkOnDate","","Mon Nov 03 18:33:22 GMT 2025","passed","Mon Nov 03 18:33:23 GMT 2025","","EventRepSuite","",""
"","120","Success","AdminRepSuite","Mon Nov 03 18:33:26 GMT 2025","passed","Mon Nov 03 18:33:26 GMT 2025","","TestAdminRep_GetAll","",""
"","76","Success","UserRepSuite","Mon Nov 03 18:33:25 GMT 2025","passed","Mon Nov 03 18:33:25 GMT 2025","","TestUserRep_GetByLogin","",""
"","1","TestArtworkService_Update","","Mon Nov 03 18:31:30 GMT 2025","passed","Mon Nov 03 18:31:30 GMT 2025","","ArtworkServiceSuite","",""
"","1621","TestEventRep_AddArtworksToEvent","","Mon Nov 03 18:33:22 GMT 2025","passed","Mon Nov 03 18:33:23 GMT 2025","","EventRepSuite","",""
"","20","Not found","AdminRepSuite","Mon Nov 03 18:33:26 GMT 2025","passed","Mon Nov 03 18:33:26 GMT 2025","","TestAdminRep_GetByLogin","",""
"","71","TestAdminRep_Add","","Mon Nov 03 18:33:26 GMT 2025","passed","Mon Nov 03 18:33:26 GMT 2025","","AdminRepSuite","",""
