"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","78","Update function returns error","ArtworkRepSuite","Sat Nov 22 06:38:59 UTC 2025","passed","Sat Nov 22 06:38:59 UTC 2025","","TestArtworkRep_Update","",""
"","16","Not found","EmployeeRepSuite","Sat Nov 22 06:39:03 UTC 2025","passed","Sat Nov 22 06:39:03 UTC 2025","","TestEmployeeRep_Delete","",""
"","1","TestBuyTicketsServ_CancelBuyTicket","","Sat Nov 22 06:37:18 UTC 2025","passed","Sat Nov 22 06:37:18 UTC 2025","","BuyTicketsServiceSuite","",""
"","147","Success","EmployeeRepSuite","Sat Nov 22 06:39:03 UTC 2025","passed","Sat Nov 22 06:39:03 UTC 2025","","TestEmployeeRep_Add","",""
"","209","Empty result for event without artworks","EventRepSuite","Sat Nov 22 06:39:00 UTC 2025","passed","Sat Nov 22 06:39:01 UTC 2025","","TestEventRep_GetArtworkIDs","",""
"","1","TestAuthorServ_Delete","","Sat Nov 22 06:37:18 UTC 2025","passed","Sat Nov 22 06:37:18 UTC 2025","","AuthorServiceSuite","",""
"","107","Success","EmployeeRepSuite","Sat Nov 22 06:39:03 UTC 2025","passed","Sat Nov 22 06:39:03 UTC 2025","","TestEmployeeRep_Delete","",""
"","1","TestAuthEmployee_LoginEmployee","","Sat Nov 22 06:37:16 UTC 2025","passed","Sat Nov 22 06:37:16 UTC 2025","","AuthEmployeeServiceSuite","",""
"","149","Duplicate login error","EmployeeRepSuite","Sat Nov 22 06:39:03 UTC 2025","passed","Sat Nov 22 06:39:03 UTC 2025","","TestEmployeeRep_Add","",""
"","216","Success with empty filter","ArtworkRepSuite","Sat Nov 22 06:38:59 UTC 2025","passed","Sat Nov 22 06:38:59 UTC 2025","","TestArtworkRep_GetAllArtworks","",""
"","1461","TestEventRep_CheckEmployeeByID","","Sat Nov 22 06:38:59 UTC 2025","passed","Sat Nov 22 06:39:01 UTC 2025","","EventRepSuite","",""
"","10","Not found","AdminRepSuite","Sat Nov 22 06:38:59 UTC 2025","passed","Sat Nov 22 06:38:59 UTC 2025","","TestAdminRep_GetByLogin","",""
"","37","Success","AuthorRepSuite","Sat Nov 22 06:39:03 UTC 2025","passed","Sat Nov 22 06:39:03 UTC 2025","","TestAuthorRep_Add","",""
"","281","TestArtworkRep_Add","","Sat Nov 22 06:38:59 UTC 2025","passed","Sat Nov 22 06:38:59 UTC 2025","","ArtworkRepSuite","",""
"","9","Not found","CollectionRepSuite","Sat Nov 22 06:38:58 UTC 2025","passed","Sat Nov 22 06:38:58 UTC 2025","","TestCollectionRep_Delete","",""
"","17","Employee not found error","EventRepSuite","Sat Nov 22 06:39:00 UTC 2025","passed","Sat Nov 22 06:39:00 UTC 2025","","TestEventRep_Add","",""
"","0","TestUserService_ChangeSubscribeToMailing","","Sat Nov 22 06:37:19 UTC 2025","passed","Sat Nov 22 06:37:19 UTC 2025","","UserServiceSuite","",""
