"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2715","TestEventRep_AddArtworksToEvent","","Thu Nov 20 14:40:17 UTC 2025","passed","Thu Nov 20 14:40:19 UTC 2025","","EventRepSuite","",""
"","516","Update function returns error","EventRepSuite","Thu Nov 20 14:40:18 UTC 2025","passed","Thu Nov 20 14:40:19 UTC 2025","","TestEventRep_Update","",""
"","20","Employee does not exist","EventRepSuite","Thu Nov 20 14:40:17 UTC 2025","passed","Thu Nov 20 14:40:17 UTC 2025","","TestEventRep_CheckEmployeeByID","",""
"","126","Update function returns error","EmployeeRepSuite","Thu Nov 20 14:40:16 UTC 2025","passed","Thu Nov 20 14:40:16 UTC 2025","","TestEmployeeRep_Update","",""
"","1","TestBuyTicketsServ_GetBuyTicketTransactionDuration","","Thu Nov 20 14:38:33 UTC 2025","passed","Thu Nov 20 14:38:33 UTC 2025","","BuyTicketsServiceSuite","",""
"","0","TestCollectionServ_Add","","Thu Nov 20 14:38:33 UTC 2025","passed","Thu Nov 20 14:38:33 UTC 2025","","CollectionServiceSuite","",""
"","95","Has artworks - true","AuthorRepSuite","Thu Nov 20 14:40:16 UTC 2025","passed","Thu Nov 20 14:40:16 UTC 2025","","TestAuthorRep_HasArtworks","",""
"","1","TestArtworkService_Add","","Thu Nov 20 14:38:30 UTC 2025","passed","Thu Nov 20 14:38:30 UTC 2025","","ArtworkServiceSuite","",""
"","1","TestAuthEmployee_LoginEmployee","","Thu Nov 20 14:38:31 UTC 2025","passed","Thu Nov 20 14:38:31 UTC 2025","","AuthEmployeeServiceSuite","",""
"","126","TestEmployeeRep_Delete","","Thu Nov 20 14:40:15 UTC 2025","passed","Thu Nov 20 14:40:16 UTC 2025","","EmployeeRepSuite","",""
"","85","Success","AuthorRepSuite","Thu Nov 20 14:40:16 UTC 2025","passed","Thu Nov 20 14:40:16 UTC 2025","","TestAuthorRep_Update","",""
"","114","Success","ArtworkRepSuite","Thu Nov 20 14:40:19 UTC 2025","passed","Thu Nov 20 14:40:19 UTC 2025","","TestArtworkRep_GetByID","",""
"","1","TestArtworkService_Update","","Thu Nov 20 14:38:30 UTC 2025","passed","Thu Nov 20 14:38:30 UTC 2025","","ArtworkServiceSuite","",""
"","89","TestUserRep_GetByID","","Thu Nov 20 14:40:16 UTC 2025","passed","Thu Nov 20 14:40:16 UTC 2025","","UserRepSuite","",""
"","0","TestAuthEmployee_VerifyByToken","","Thu Nov 20 14:38:31 UTC 2025","passed","Thu Nov 20 14:38:31 UTC 2025","","AuthEmployeeServiceSuite","",""
"","10","Not found","UserRepSuite","Thu Nov 20 14:40:16 UTC 2025","passed","Thu Nov 20 14:40:17 UTC 2025","","TestUserRep_UpdateSubscribeToMailing","",""
"","164","TestEmployeeRep_GetByLogin","","Thu Nov 20 14:40:15 UTC 2025","passed","Thu Nov 20 14:40:16 UTC 2025","","EmployeeRepSuite","",""
"","76","TestAdminRep_Add","","Thu Nov 20 14:40:15 UTC 2025","passed","Thu Nov 20 14:40:15 UTC 2025","","AdminRepSuite","",""
"","49","Success","CollectionRepSuite","Thu Nov 20 14:40:15 UTC 2025","passed","Thu Nov 20 14:40:15 UTC 2025","","TestCollectionRep_Add","",""
"","0","TestAuthZ_Authz_GetAdminID","","Thu Nov 20 14:38:31 UTC 2025","passed","Thu Nov 20 14:38:31 UTC 2025","","AuthZServiceSuite","",""
"","76","Duplicate login error","AdminRepSuite","Thu Nov 20 14:40:15 UTC 2025","passed","Thu Nov 20 14:40:15 UTC 2025","","TestAdminRep_Add","",""
"","121","Duplicate error","ArtworkRepSuite","Thu Nov 20 14:40:19 UTC 2025","passed","Thu Nov 20 14:40:20 UTC 2025","","TestArtworkRep_Add","",""
"","205","TestAuthorRep_GetAll","","Thu Nov 20 14:40:16 UTC 2025","passed","Thu Nov 20 14:40:16 UTC 2025","","AuthorRepSuite","",""
"","111","Update function returns error","ArtworkRepSuite","Thu Nov 20 14:40:20 UTC 2025","passed","Thu Nov 20 14:40:20 UTC 2025","","TestArtworkRep_Update","",""
"","21","Not found","EmployeeRepSuite","Thu Nov 20 14:40:16 UTC 2025","passed","Thu Nov 20 14:40:16 UTC 2025","","TestEmployeeRep_GetByLogin","",""
"","10","Not found","AuthorRepSuite","Thu Nov 20 14:40:16 UTC 2025","passed","Thu Nov 20 14:40:16 UTC 2025","","TestAuthorRep_Delete","",""
"","2099","TestEventRep_Update","","Thu Nov 20 14:40:17 UTC 2025","passed","Thu Nov 20 14:40:19 UTC 2025","","EventRepSuite","",""
"","292","TestArtworkRep_Update","","Thu Nov 20 14:40:19 UTC 2025","passed","Thu Nov 20 14:40:20 UTC 2025","","ArtworkRepSuite","",""
"","67","Success","AdminRepSuite","Thu Nov 20 14:40:15 UTC 2025","passed","Thu Nov 20 14:40:15 UTC 2025","","TestAdminRep_GetAll","",""
