"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2051","TestEventRep_DeleteArtworkFromEvent","","Sat Nov 22 08:33:03 UTC 2025","passed","Sat Nov 22 08:33:05 UTC 2025","","EventRepSuite","",""
"","0","TestEventService_AddArtworksToEvent","","Sat Nov 22 08:31:27 UTC 2025","passed","Sat Nov 22 08:31:27 UTC 2025","","EventServiceSuite","",""
"","1","TestSearcher_GetEvent","","Sat Nov 22 08:31:27 UTC 2025","passed","Sat Nov 22 08:31:27 UTC 2025","","SearcherServiceSuite","",""
"","13","Not found","CollectionRepSuite","Sat Nov 22 08:33:03 UTC 2025","passed","Sat Nov 22 08:33:03 UTC 2025","","TestCollectionRep_Update","",""
"","327","TestUserRep_UpdateSubscribeToMailing","","Sat Nov 22 08:33:06 UTC 2025","passed","Sat Nov 22 08:33:07 UTC 2025","","UserRepSuite","",""
"","71","TestAdminRep_Add","","Sat Nov 22 08:33:07 UTC 2025","passed","Sat Nov 22 08:33:07 UTC 2025","","AdminRepSuite","",""
"","1","TestEventService_Add","","Sat Nov 22 08:31:27 UTC 2025","passed","Sat Nov 22 08:31:27 UTC 2025","","EventServiceSuite","",""
"","262","TestEmployeeRep_GetAll","","Sat Nov 22 08:33:06 UTC 2025","passed","Sat Nov 22 08:33:06 UTC 2025","","EmployeeRepSuite","",""
"","16","Not found","ArtworkRepSuite","Sat Nov 22 08:33:03 UTC 2025","passed","Sat Nov 22 08:33:03 UTC 2025","","TestArtworkRep_Delete","",""
"","23","Update function returns error","AuthorRepSuite","Sat Nov 22 08:33:07 UTC 2025","passed","Sat Nov 22 08:33:07 UTC 2025","","TestAuthorRep_Update","",""
"","131","TestAuthorRep_HasArtworks","","Sat Nov 22 08:33:07 UTC 2025","passed","Sat Nov 22 08:33:07 UTC 2025","","AuthorRepSuite","",""
"","15","Not found","AuthorRepSuite","Sat Nov 22 08:33:07 UTC 2025","passed","Sat Nov 22 08:33:07 UTC 2025","","TestAuthorRep_Delete","",""
"","102","Success","UserRepSuite","Sat Nov 22 08:33:06 UTC 2025","passed","Sat Nov 22 08:33:06 UTC 2025","","TestUserRep_Update","",""
"","1","TestEventService_Delete","","Sat Nov 22 08:31:27 UTC 2025","passed","Sat Nov 22 08:31:27 UTC 2025","","EventServiceSuite","",""
"","0","TestArtworkService_Update","","Sat Nov 22 08:31:23 UTC 2025","passed","Sat Nov 22 08:31:23 UTC 2025","","ArtworkServiceSuite","",""
"","16","Employee not found error","EventRepSuite","Sat Nov 22 08:33:05 UTC 2025","passed","Sat Nov 22 08:33:05 UTC 2025","","TestEventRep_Add","",""
"","1374","TestEventRep_GetByID","","Sat Nov 22 08:33:03 UTC 2025","passed","Sat Nov 22 08:33:04 UTC 2025","","EventRepSuite","",""
"","0","TestAuthEmployee_VerifyByToken","","Sat Nov 22 08:31:24 UTC 2025","passed","Sat Nov 22 08:31:24 UTC 2025","","AuthEmployeeServiceSuite","",""
"","16","Not found","EventRepSuite","Sat Nov 22 08:33:05 UTC 2025","passed","Sat Nov 22 08:33:05 UTC 2025","","TestEventRep_GetArtworkIDs","",""
"","2513","TestEventRep_SetNotValid","","Sat Nov 22 08:33:03 UTC 2025","passed","Sat Nov 22 08:33:06 UTC 2025","","EventRepSuite","",""
"","224","TestAuthorRep_Add","","Sat Nov 22 08:33:07 UTC 2025","passed","Sat Nov 22 08:33:07 UTC 2025","","AuthorRepSuite","",""
"","14","Not found","EventRepSuite","Sat Nov 22 08:33:04 UTC 2025","passed","Sat Nov 22 08:33:04 UTC 2025","","TestEventRep_Update","",""
"","143","Success with title filter","ArtworkRepSuite","Sat Nov 22 08:33:03 UTC 2025","passed","Sat Nov 22 08:33:03 UTC 2025","","TestArtworkRep_GetAllArtworks","",""
"","1","TestAuthEmployee_RegisterEmployee","","Sat Nov 22 08:31:24 UTC 2025","passed","Sat Nov 22 08:31:24 UTC 2025","","AuthEmployeeServiceSuite","",""
"","1","TestSearcher_GetAllEvents","","Sat Nov 22 08:31:27 UTC 2025","passed","Sat Nov 22 08:31:27 UTC 2025","","SearcherServiceSuite","",""
"","0","TestEventServ_GetAll","","Sat Nov 22 08:31:27 UTC 2025","passed","Sat Nov 22 08:31:27 UTC 2025","","EventServiceSuite","",""
"","60","Success - enable subscription","UserRepSuite","Sat Nov 22 08:33:07 UTC 2025","passed","Sat Nov 22 08:33:07 UTC 2025","","TestUserRep_UpdateSubscribeToMailing","",""
"","81","Success","CollectionRepSuite","Sat Nov 22 08:33:03 UTC 2025","passed","Sat Nov 22 08:33:03 UTC 2025","","TestCollectionRep_Update","",""
"","211","TestUserRep_GetByID","","Sat Nov 22 08:33:06 UTC 2025","passed","Sat Nov 22 08:33:07 UTC 2025","","UserRepSuite","",""
"","86","Success","ArtworkRepSuite","Sat Nov 22 08:33:03 UTC 2025","passed","Sat Nov 22 08:33:03 UTC 2025","","TestArtworkRep_Delete","",""
"","18","Employee does not exist","EventRepSuite","Sat Nov 22 08:33:03 UTC 2025","passed","Sat Nov 22 08:33:03 UTC 2025","","TestEventRep_CheckEmployeeByID","",""
"","126","Duplicate login error","UserRepSuite","Sat Nov 22 08:33:06 UTC 2025","passed","Sat Nov 22 08:33:07 UTC 2025","","TestUserRep_Update","",""
"","1547","TestEventRep_Delete","","Sat Nov 22 08:33:03 UTC 2025","passed","Sat Nov 22 08:33:05 UTC 2025","","EventRepSuite","",""
"","0","TestSearcher_GetAllArtworks","","Sat Nov 22 08:31:27 UTC 2025","passed","Sat Nov 22 08:31:27 UTC 2025","","SearcherServiceSuite","",""
"","1091","Success with empty filter","EventRepSuite","Sat Nov 22 08:33:03 UTC 2025","passed","Sat Nov 22 08:33:04 UTC 2025","","TestEventRep_GetAllEvents","",""
"","0","TestUserService_GetSelf","","Sat Nov 22 08:31:27 UTC 2025","passed","Sat Nov 22 08:31:27 UTC 2025","","UserServiceSuite","",""
"","1","TestAuthAdmin_VerifyByToken","","Sat Nov 22 08:31:23 UTC 2025","passed","Sat Nov 22 08:31:23 UTC 2025","","AuthAdminServiceSuite","",""
"","8","Not found","AdminRepSuite","Sat Nov 22 08:33:07 UTC 2025","passed","Sat Nov 22 08:33:07 UTC 2025","","TestAdminRep_GetByID","",""
"","0","TestBuyTicketsServ_CancelBuyTicket","","Sat Nov 22 08:31:26 UTC 2025","passed","Sat Nov 22 08:31:26 UTC 2025","","BuyTicketsServiceSuite","",""
"","71","Success","UserRepSuite","Sat Nov 22 08:33:06 UTC 2025","passed","Sat Nov 22 08:33:06 UTC 2025","","TestUserRep_GetByLogin","",""
"","1","TestArtworkService_Add","","Sat Nov 22 08:31:23 UTC 2025","passed","Sat Nov 22 08:31:23 UTC 2025","","ArtworkServiceSuite","",""
"","16","Not found","UserRepSuite","Sat Nov 22 08:33:06 UTC 2025","passed","Sat Nov 22 08:33:06 UTC 2025","","TestUserRep_Delete","",""
"","15","Not found","UserRepSuite","Sat Nov 22 08:33:07 UTC 2025","passed","Sat Nov 22 08:33:07 UTC 2025","","TestUserRep_GetByID","",""
"","115","Update function returns error","EmployeeRepSuite","Sat Nov 22 08:33:06 UTC 2025","passed","Sat Nov 22 08:33:06 UTC 2025","","TestEmployeeRep_Update","",""
"","473","TestEmployeeRep_Update","","Sat Nov 22 08:33:06 UTC 2025","passed","Sat Nov 22 08:33:06 UTC 2025","","EmployeeRepSuite","",""
"","16","Not found","EventRepSuite","Sat Nov 22 08:33:05 UTC 2025","passed","Sat Nov 22 08:33:05 UTC 2025","","TestEventRep_Delete","",""
"","1","TestSearcher_GetArtworksFromEvent","","Sat Nov 22 08:31:27 UTC 2025","passed","Sat Nov 22 08:31:27 UTC 2025","","SearcherServiceSuite","",""
"","109","Duplicate login error","AdminRepSuite","Sat Nov 22 08:33:07 UTC 2025","passed","Sat Nov 22 08:33:07 UTC 2025","","TestAdminRep_Update","",""
