"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2381","TestEventRep_GetEventsOfArtworkOnDate","","Mon Nov 03 19:01:07 GMT 2025","passed","Mon Nov 03 19:01:09 GMT 2025","","EventRepSuite","",""
"","298","TestUserRep_UpdateSubscribeToMailing","","Mon Nov 03 19:01:10 GMT 2025","passed","Mon Nov 03 19:01:11 GMT 2025","","UserRepSuite","",""
"","115","TestAdminRep_GetAll","","Mon Nov 03 19:01:07 GMT 2025","passed","Mon Nov 03 19:01:07 GMT 2025","","AdminRepSuite","",""
"","11","Not found","CollectionRepSuite","Mon Nov 03 19:01:10 GMT 2025","passed","Mon Nov 03 19:01:10 GMT 2025","","TestCollectionRep_Update","",""
"","40","Success","CollectionRepSuite","Mon Nov 03 19:01:10 GMT 2025","passed","Mon Nov 03 19:01:10 GMT 2025","","TestCollectionRep_Delete","",""
"","571","Success","EventRepSuite","Mon Nov 03 19:01:08 GMT 2025","passed","Mon Nov 03 19:01:08 GMT 2025","","TestEventRep_Update","",""
"","359","TestArtworkRep_GetAllArtworks","","Mon Nov 03 19:01:06 GMT 2025","passed","Mon Nov 03 19:01:06 GMT 2025","","ArtworkRepSuite","",""
"","97","Success","UserRepSuite","Mon Nov 03 19:01:10 GMT 2025","passed","Mon Nov 03 19:01:11 GMT 2025","","TestUserRep_Update","",""
"","1173","TestEventRep_DeleteArtworkFromEvent","","Mon Nov 03 19:01:07 GMT 2025","passed","Mon Nov 03 19:01:08 GMT 2025","","EventRepSuite","",""
"","0","TestArtworkService_Delete","","Mon Nov 03 18:59:20 GMT 2025","passed","Mon Nov 03 18:59:20 GMT 2025","","ArtworkServiceSuite","",""
"","15","Not found","UserRepSuite","Mon Nov 03 19:01:10 GMT 2025","passed","Mon Nov 03 19:01:10 GMT 2025","","TestUserRep_Delete","",""
"","85","Duplicate ID error","EmployeeRepSuite","Mon Nov 03 19:01:07 GMT 2025","passed","Mon Nov 03 19:01:07 GMT 2025","","TestEmployeeRep_Add","",""
"","0","TestEventService_GetArtworksFromEvent","","Mon Nov 03 18:59:22 GMT 2025","passed","Mon Nov 03 18:59:22 GMT 2025","","EventServiceSuite","",""
"","0","TestAuthZ_Authz_GetEmployeeID","","Mon Nov 03 18:59:20 GMT 2025","passed","Mon Nov 03 18:59:20 GMT 2025","","AuthZServiceSuite","",""
"","132","TestAuthorRep_HasArtworks","","Mon Nov 03 19:01:10 GMT 2025","passed","Mon Nov 03 19:01:10 GMT 2025","","AuthorRepSuite","",""
"","442","Success","EventRepSuite","Mon Nov 03 19:01:08 GMT 2025","passed","Mon Nov 03 19:01:08 GMT 2025","","TestEventRep_DeleteArtworkFromEvent","",""
"","129","Success","EmployeeRepSuite","Mon Nov 03 19:01:06 GMT 2025","passed","Mon Nov 03 19:01:07 GMT 2025","","TestEmployeeRep_Add","",""
"","16","Not found","EmployeeRepSuite","Mon Nov 03 19:01:06 GMT 2025","passed","Mon Nov 03 19:01:06 GMT 2025","","TestEmployeeRep_Update","",""
"","1","TestUserService_GetSelf","","Mon Nov 03 18:59:22 GMT 2025","passed","Mon Nov 03 18:59:22 GMT 2025","","UserServiceSuite","",""
"","0","TestAuthAdmin_RegisterAdmin","","Mon Nov 03 18:59:20 GMT 2025","passed","Mon Nov 03 18:59:20 GMT 2025","","AuthAdminServiceSuite","",""
"","1129","Success with empty filter","EventRepSuite","Mon Nov 03 19:01:08 GMT 2025","passed","Mon Nov 03 19:01:09 GMT 2025","","TestEventRep_GetAllEvents","",""
"","3","TestBuyTicketsServ_BuyTicket","","Mon Nov 03 18:59:21 GMT 2025","passed","Mon Nov 03 18:59:21 GMT 2025","","BuyTicketsServiceSuite","",""
"","68","Success - disable subscription","UserRepSuite","Mon Nov 03 19:01:11 GMT 2025","passed","Mon Nov 03 19:01:11 GMT 2025","","TestUserRep_UpdateSubscribeToMailing","",""
"","17","Not found","UserRepSuite","Mon Nov 03 19:01:10 GMT 2025","passed","Mon Nov 03 19:01:10 GMT 2025","","TestUserRep_GetByID","",""
"","86","Success - enable subscription","UserRepSuite","Mon Nov 03 19:01:10 GMT 2025","passed","Mon Nov 03 19:01:11 GMT 2025","","TestUserRep_UpdateSubscribeToMailing","",""
