"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","136","Success","ArtworkRepSuite","Thu Sep 25 17:05:35 GMT 2025","passed","Thu Sep 25 17:05:35 GMT 2025","","TestArtworkRep_GetByID","",""
"","42","Success","CollectionRepSuite","Thu Sep 25 17:05:35 GMT 2025","passed","Thu Sep 25 17:05:35 GMT 2025","","TestCollectionRep_GetByID","",""
"","124","Duplicate login error","UserRepSuite","Thu Sep 25 17:05:36 GMT 2025","passed","Thu Sep 25 17:05:36 GMT 2025","","TestUserRep_Update","",""
"","252","TestAuthorRep_GetByID","","Thu Sep 25 17:05:36 GMT 2025","passed","Thu Sep 25 17:05:36 GMT 2025","","AuthorRepSuite","",""
"","49","Success","CollectionRepSuite","Thu Sep 25 17:05:35 GMT 2025","passed","Thu Sep 25 17:05:35 GMT 2025","","TestCollectionRep_Add","",""
"","119","Duplicate ID error","EmployeeRepSuite","Thu Sep 25 17:05:37 GMT 2025","passed","Thu Sep 25 17:05:37 GMT 2025","","TestEmployeeRep_Add","",""
"","14","Not found","AuthorRepSuite","Thu Sep 25 17:05:36 GMT 2025","passed","Thu Sep 25 17:05:36 GMT 2025","","TestAuthorRep_Update","",""
"","90","Success","ArtworkRepSuite","Thu Sep 25 17:05:35 GMT 2025","passed","Thu Sep 25 17:05:36 GMT 2025","","TestArtworkRep_Delete","",""
"","9","Not found","AuthorRepSuite","Thu Sep 25 17:05:36 GMT 2025","passed","Thu Sep 25 17:05:36 GMT 2025","","TestAuthorRep_GetByID","",""
"","166","Duplicate login error","EmployeeRepSuite","Thu Sep 25 17:05:37 GMT 2025","passed","Thu Sep 25 17:05:37 GMT 2025","","TestEmployeeRep_Update","",""
"","48","Duplicate error","CollectionRepSuite","Thu Sep 25 17:05:35 GMT 2025","passed","Thu Sep 25 17:05:35 GMT 2025","","TestCollectionRep_Add","",""
"","20","Not found","EmployeeRepSuite","Thu Sep 25 17:05:37 GMT 2025","passed","Thu Sep 25 17:05:37 GMT 2025","","TestEmployeeRep_GetByLogin","",""
"","86","TestCollectionRep_GetAll","","Thu Sep 25 17:05:35 GMT 2025","passed","Thu Sep 25 17:05:35 GMT 2025","","CollectionRepSuite","",""
"","128","TestAuthorRep_Update","","Thu Sep 25 17:05:36 GMT 2025","passed","Thu Sep 25 17:05:36 GMT 2025","","AuthorRepSuite","",""
"","17","Not found","AuthorRepSuite","Thu Sep 25 17:05:36 GMT 2025","passed","Thu Sep 25 17:05:36 GMT 2025","","TestAuthorRep_Delete","",""
"","17","Not found","AdminRepSuite","Thu Sep 25 17:05:35 GMT 2025","passed","Thu Sep 25 17:05:35 GMT 2025","","TestAdminRep_GetByLogin","",""
"","78","Success","CollectionRepSuite","Thu Sep 25 17:05:35 GMT 2025","passed","Thu Sep 25 17:05:35 GMT 2025","","TestCollectionRep_Update","",""
"","95","TestUserRep_GetByID","","Thu Sep 25 17:05:36 GMT 2025","passed","Thu Sep 25 17:05:36 GMT 2025","","UserRepSuite","",""
"","488","TestEmployeeRep_Update","","Thu Sep 25 17:05:36 GMT 2025","passed","Thu Sep 25 17:05:37 GMT 2025","","EmployeeRepSuite","",""
"","381","TestArtworkRep_GetAllArtworks","","Thu Sep 25 17:05:35 GMT 2025","passed","Thu Sep 25 17:05:36 GMT 2025","","ArtworkRepSuite","",""
"","514","Success","EventRepSuite","Thu Sep 25 17:05:37 GMT 2025","passed","Thu Sep 25 17:05:37 GMT 2025","","TestEventRep_GetArtworkIDs","",""
"","211","TestUserRep_GetAllSubscribed","","Thu Sep 25 17:05:36 GMT 2025","passed","Thu Sep 25 17:05:36 GMT 2025","","UserRepSuite","",""
"","71","Success","AdminRepSuite","Thu Sep 25 17:05:35 GMT 2025","passed","Thu Sep 25 17:05:35 GMT 2025","","TestAdminRep_GetByID","",""
"","253","TestUserRep_Update","","Thu Sep 25 17:05:36 GMT 2025","passed","Thu Sep 25 17:05:36 GMT 2025","","UserRepSuite","",""
"","66","Success","UserRepSuite","Thu Sep 25 17:05:36 GMT 2025","passed","Thu Sep 25 17:05:36 GMT 2025","","TestUserRep_GetByLogin","",""
"","18","Not found","UserRepSuite","Thu Sep 25 17:05:36 GMT 2025","passed","Thu Sep 25 17:05:36 GMT 2025","","TestUserRep_GetByLogin","",""
"","98","TestCollectionRep_Add","","Thu Sep 25 17:05:35 GMT 2025","passed","Thu Sep 25 17:05:35 GMT 2025","","CollectionRepSuite","",""
"","170","Success","EmployeeRepSuite","Thu Sep 25 17:05:36 GMT 2025","passed","Thu Sep 25 17:05:36 GMT 2025","","TestEmployeeRep_Update","",""
"","307","TestArtworkRep_Update","","Thu Sep 25 17:05:35 GMT 2025","passed","Thu Sep 25 17:05:36 GMT 2025","","ArtworkRepSuite","",""
"","70","Duplicate login error","AdminRepSuite","Thu Sep 25 17:05:35 GMT 2025","passed","Thu Sep 25 17:05:35 GMT 2025","","TestAdminRep_Add","",""
"","464","Success with title filter","EventRepSuite","Thu Sep 25 17:05:38 GMT 2025","passed","Thu Sep 25 17:05:38 GMT 2025","","TestEventRep_GetAllEvents","",""
"","70","Success","UserRepSuite","Thu Sep 25 17:05:36 GMT 2025","passed","Thu Sep 25 17:05:36 GMT 2025","","TestUserRep_Delete","",""
"","55","Success","AuthorRepSuite","Thu Sep 25 17:05:36 GMT 2025","passed","Thu Sep 25 17:05:36 GMT 2025","","TestAuthorRep_Delete","",""
"","96","Has artworks - true","AuthorRepSuite","Thu Sep 25 17:05:36 GMT 2025","passed","Thu Sep 25 17:05:36 GMT 2025","","TestAuthorRep_HasArtworks","",""
"","102","Empty result for artwork without events in date range","EventRepSuite","Thu Sep 25 17:05:37 GMT 2025","passed","Thu Sep 25 17:05:37 GMT 2025","","TestEventRep_GetEventsOfArtworkOnDate","",""
