"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","Success","AuthorRepSuite","Thu Nov 20 15:21:32 UTC 2025","passed","Thu Nov 20 15:21:33 UTC 2025","","TestAuthorRep_Delete","",""
"","0","TestSearcher_GetAllArtworks","","Thu Nov 20 15:19:45 UTC 2025","passed","Thu Nov 20 15:19:45 UTC 2025","","SearcherServiceSuite","",""
"","152","Success","ArtworkRepSuite","Thu Nov 20 15:21:33 UTC 2025","passed","Thu Nov 20 15:21:33 UTC 2025","","TestArtworkRep_Update","",""
"","499","Success","EventRepSuite","Thu Nov 20 15:21:29 UTC 2025","passed","Thu Nov 20 15:21:30 UTC 2025","","TestEventRep_GetByID","",""
"","1","TestMailingService_SendMailToAllUsers","","Thu Nov 20 15:19:45 UTC 2025","passed","Thu Nov 20 15:19:45 UTC 2025","","MailingServiceSuite","",""
"","483","TestEmployeeRep_Update","","Thu Nov 20 15:21:31 UTC 2025","passed","Thu Nov 20 15:21:32 UTC 2025","","EmployeeRepSuite","",""
"","0","TestArtworkService_Delete","","Thu Nov 20 15:19:41 UTC 2025","passed","Thu Nov 20 15:19:41 UTC 2025","","ArtworkServiceSuite","",""
"","96","Has artworks - true","AuthorRepSuite","Thu Nov 20 15:21:32 UTC 2025","passed","Thu Nov 20 15:21:32 UTC 2025","","TestAuthorRep_HasArtworks","",""
"","973","Success with title filter","EventRepSuite","Thu Nov 20 15:21:29 UTC 2025","passed","Thu Nov 20 15:21:30 UTC 2025","","TestEventRep_GetAllEvents","",""
"","21","Not found","ArtworkRepSuite","Thu Nov 20 15:21:33 UTC 2025","passed","Thu Nov 20 15:21:33 UTC 2025","","TestArtworkRep_GetByID","",""
"","0","TestBuyTicketsServ_GetBuyTicketTransactionDuration","","Thu Nov 20 15:19:43 UTC 2025","passed","Thu Nov 20 15:19:43 UTC 2025","","BuyTicketsServiceSuite","",""
"","254","TestUserRep_GetAll","","Thu Nov 20 15:21:32 UTC 2025","passed","Thu Nov 20 15:21:32 UTC 2025","","UserRepSuite","",""
"","179","Success with empty filter","ArtworkRepSuite","Thu Nov 20 15:21:33 UTC 2025","passed","Thu Nov 20 15:21:33 UTC 2025","","TestArtworkRep_GetAllArtworks","",""
"","282","TestUserRep_UpdateSubscribeToMailing","","Thu Nov 20 15:21:32 UTC 2025","passed","Thu Nov 20 15:21:32 UTC 2025","","UserRepSuite","",""
"","261","Success","EmployeeRepSuite","Thu Nov 20 15:21:31 UTC 2025","passed","Thu Nov 20 15:21:32 UTC 2025","","TestEmployeeRep_GetAll","",""
"","0","TestAuthEmployee_VerifyByToken","","Thu Nov 20 15:19:41 UTC 2025","passed","Thu Nov 20 15:19:41 UTC 2025","","AuthEmployeeServiceSuite","",""
"","15","Not found","UserRepSuite","Thu Nov 20 15:21:32 UTC 2025","passed","Thu Nov 20 15:21:32 UTC 2025","","TestUserRep_GetByID","",""
"","1","TestAuthorServ_GetAll","","Thu Nov 20 15:19:43 UTC 2025","passed","Thu Nov 20 15:19:43 UTC 2025","","AuthorServiceSuite","",""
"","17","Not found","AdminRepSuite","Thu Nov 20 15:21:31 UTC 2025","passed","Thu Nov 20 15:21:31 UTC 2025","","TestAdminRep_GetByID","",""
"","51","Success","AuthorRepSuite","Thu Nov 20 15:21:32 UTC 2025","passed","Thu Nov 20 15:21:32 UTC 2025","","TestAuthorRep_Add","",""
"","262","TestEmployeeRep_GetAll","","Thu Nov 20 15:21:31 UTC 2025","passed","Thu Nov 20 15:21:32 UTC 2025","","EmployeeRepSuite","",""
"","0","TestAuthZ_Authz_GetUserID","","Thu Nov 20 15:19:42 UTC 2025","passed","Thu Nov 20 15:19:42 UTC 2025","","AuthZServiceSuite","",""
"","46","Duplicate error","CollectionRepSuite","Thu Nov 20 15:21:31 UTC 2025","passed","Thu Nov 20 15:21:31 UTC 2025","","TestCollectionRep_Add","",""
"","101","Success - enable subscription","UserRepSuite","Thu Nov 20 15:21:32 UTC 2025","passed","Thu Nov 20 15:21:32 UTC 2025","","TestUserRep_UpdateSubscribeToMailing","",""
"","122","Event not found","EventRepSuite","Thu Nov 20 15:21:30 UTC 2025","passed","Thu Nov 20 15:21:30 UTC 2025","","TestEventRep_AddArtworksToEvent","",""
"","0","TestEventService_Update","","Thu Nov 20 15:19:45 UTC 2025","passed","Thu Nov 20 15:19:45 UTC 2025","","EventServiceSuite","",""
"","70","Success","UserRepSuite","Thu Nov 20 15:21:32 UTC 2025","passed","Thu Nov 20 15:21:32 UTC 2025","","TestUserRep_GetByID","",""
"","145","Success","EmployeeRepSuite","Thu Nov 20 15:21:32 UTC 2025","passed","Thu Nov 20 15:21:32 UTC 2025","","TestEmployeeRep_GetByLogin","",""
"","13","Not found","CollectionRepSuite","Thu Nov 20 15:21:31 UTC 2025","passed","Thu Nov 20 15:21:31 UTC 2025","","TestCollectionRep_Update","",""
"","501","Duplicate error","EventRepSuite","Thu Nov 20 15:21:30 UTC 2025","passed","Thu Nov 20 15:21:30 UTC 2025","","TestEventRep_Add","",""
"","1096","Success with empty filter","EventRepSuite","Thu Nov 20 15:21:28 UTC 2025","passed","Thu Nov 20 15:21:29 UTC 2025","","TestEventRep_GetAllEvents","",""
"","100","Duplicate login error","AdminRepSuite","Thu Nov 20 15:21:31 UTC 2025","passed","Thu Nov 20 15:21:31 UTC 2025","","TestAdminRep_Update","",""
"","388","TestArtworkRep_GetAllArtworks","","Thu Nov 20 15:21:33 UTC 2025","passed","Thu Nov 20 15:21:33 UTC 2025","","ArtworkRepSuite","",""
"","1","TestAdminService_GetAllEmployees","","Thu Nov 20 15:19:41 UTC 2025","passed","Thu Nov 20 15:19:41 UTC 2025","","AdminServiceSuite","",""
"","1322","TestEventRep_Delete","","Thu Nov 20 15:21:28 UTC 2025","passed","Thu Nov 20 15:21:30 UTC 2025","","EventRepSuite","",""
"","345","Success","EventRepSuite","Thu Nov 20 15:21:29 UTC 2025","passed","Thu Nov 20 15:21:29 UTC 2025","","TestEventRep_AddArtworksToEvent","",""
"","87","TestUserRep_GetByID","","Thu Nov 20 15:21:32 UTC 2025","passed","Thu Nov 20 15:21:32 UTC 2025","","UserRepSuite","",""
"","1839","TestEventRep_Add","","Thu Nov 20 15:21:28 UTC 2025","passed","Thu Nov 20 15:21:30 UTC 2025","","EventRepSuite","",""
"","273","TestArtworkRep_Add","","Thu Nov 20 15:21:33 UTC 2025","passed","Thu Nov 20 15:21:33 UTC 2025","","ArtworkRepSuite","",""
"","0","TestCollectionServ_Delete","","Thu Nov 20 15:19:44 UTC 2025","passed","Thu Nov 20 15:19:44 UTC 2025","","CollectionServiceSuite","",""
"","0","TestAuthUser_VerifyByToken","","Thu Nov 20 15:19:42 UTC 2025","passed","Thu Nov 20 15:19:42 UTC 2025","","AuthUserServiceSuite","",""
"","1","TestAuthorServ_Add","","Thu Nov 20 15:19:43 UTC 2025","passed","Thu Nov 20 15:19:43 UTC 2025","","AuthorServiceSuite","",""
"","82","Success - disable subscription","UserRepSuite","Thu Nov 20 15:21:32 UTC 2025","passed","Thu Nov 20 15:21:32 UTC 2025","","TestUserRep_UpdateSubscribeToMailing","",""
"","2338","TestEventRep_AddArtworksToEvent","","Thu Nov 20 15:21:28 UTC 2025","passed","Thu Nov 20 15:21:31 UTC 2025","","EventRepSuite","",""
"","0","TestAuthZ_Authz_GetEmployeeID","","Thu Nov 20 15:19:42 UTC 2025","passed","Thu Nov 20 15:19:42 UTC 2025","","AuthZServiceSuite","",""
"","47","Success","AuthorRepSuite","Thu Nov 20 15:21:32 UTC 2025","passed","Thu Nov 20 15:21:32 UTC 2025","","TestAuthorRep_GetByID","",""
