"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User register, auth, search events","2","TestUser_MVP","","Tue Sep 23 10:09:46 GMT 2025","failed","Tue Sep 23 10:09:46 GMT 2025","","UserE2ESuite","",""
"","63","TestUserRep_GetAll","","Tue Sep 23 10:08:43 GMT 2025","passed","Tue Sep 23 10:08:43 GMT 2025","","UserRepSuite","",""
"","1","TestUserService_GetSelf","","Tue Sep 23 10:07:05 GMT 2025","passed","Tue Sep 23 10:07:05 GMT 2025","","UserServiceSuite","",""
"","1","TestUserService_ChangeSubscribeToMailing","","Tue Sep 23 10:07:05 GMT 2025","passed","Tue Sep 23 10:07:05 GMT 2025","","UserServiceSuite","",""
