"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","124","Empty result for artwork without events in date range","EventRepSuite","Sat Nov 22 06:56:31 UTC 2025","passed","Sat Nov 22 06:56:31 UTC 2025","","TestEventRep_GetEventsOfArtworkOnDate","",""
"","65","Success","UserRepSuite","Sat Nov 22 06:56:35 UTC 2025","passed","Sat Nov 22 06:56:35 UTC 2025","","TestUserRep_Add","",""
"","42","Collection not found error","ArtworkRepSuite","Sat Nov 22 06:56:35 UTC 2025","passed","Sat Nov 22 06:56:35 UTC 2025","","TestArtworkRep_Add","",""
"","1","TestBuyTicketsServ_GetAllTicketPurchasesOfUser","","Sat Nov 22 06:54:45 UTC 2025","passed","Sat Nov 22 06:54:45 UTC 2025","","BuyTicketsServiceSuite","",""
"","101","Duplicate login error","AdminRepSuite","Sat Nov 22 06:56:30 UTC 2025","passed","Sat Nov 22 06:56:30 UTC 2025","","TestAdminRep_Update","",""
"","0","TestAdminService_ChangeEmployeeRights","","Sat Nov 22 06:54:42 UTC 2025","passed","Sat Nov 22 06:54:42 UTC 2025","","AdminServiceSuite","",""
"","0","TestCollectionServ_Update","","Sat Nov 22 06:54:45 UTC 2025","passed","Sat Nov 22 06:54:45 UTC 2025","","CollectionServiceSuite","",""
"","69","Success","AdminRepSuite","Sat Nov 22 06:56:30 UTC 2025","passed","Sat Nov 22 06:56:30 UTC 2025","","TestAdminRep_GetByLogin","",""
"","485","TestEmployeeRep_Update","","Sat Nov 22 06:56:34 UTC 2025","passed","Sat Nov 22 06:56:34 UTC 2025","","EmployeeRepSuite","",""
"","19","Not found","ArtworkRepSuite","Sat Nov 22 06:56:35 UTC 2025","passed","Sat Nov 22 06:56:35 UTC 2025","","TestArtworkRep_GetByID","",""
"","925","TestEventRep_Delete","","Sat Nov 22 06:56:30 UTC 2025","passed","Sat Nov 22 06:56:31 UTC 2025","","EventRepSuite","",""
"","179","Success","EmployeeRepSuite","Sat Nov 22 06:56:34 UTC 2025","passed","Sat Nov 22 06:56:34 UTC 2025","","TestEmployeeRep_Update","",""
"","136","TestCollectionRep_Update","","Sat Nov 22 06:56:34 UTC 2025","passed","Sat Nov 22 06:56:34 UTC 2025","","CollectionRepSuite","",""
"","47","Duplicate login error","UserRepSuite","Sat Nov 22 06:56:35 UTC 2025","passed","Sat Nov 22 06:56:35 UTC 2025","","TestUserRep_Add","",""
"","1","TestMailingService_SendMailToAllUsers","","Sat Nov 22 06:54:46 UTC 2025","passed","Sat Nov 22 06:54:46 UTC 2025","","MailingServiceSuite","",""
"","0","TestAuthorServ_Delete","","Sat Nov 22 06:54:45 UTC 2025","passed","Sat Nov 22 06:54:45 UTC 2025","","AuthorServiceSuite","",""
"","48","Success","AuthorRepSuite","Sat Nov 22 06:56:34 UTC 2025","passed","Sat Nov 22 06:56:34 UTC 2025","","TestAuthorRep_Delete","",""
"","445","Success with title filter","EventRepSuite","Sat Nov 22 06:56:33 UTC 2025","passed","Sat Nov 22 06:56:33 UTC 2025","","TestEventRep_GetAllEvents","",""
"","70","Success","UserRepSuite","Sat Nov 22 06:56:34 UTC 2025","passed","Sat Nov 22 06:56:35 UTC 2025","","TestUserRep_GetByLogin","",""
"","14","Not found","AuthorRepSuite","Sat Nov 22 06:56:34 UTC 2025","passed","Sat Nov 22 06:56:34 UTC 2025","","TestAuthorRep_Delete","",""
"","91","TestAdminRep_GetByLogin","","Sat Nov 22 06:56:30 UTC 2025","passed","Sat Nov 22 06:56:30 UTC 2025","","AdminRepSuite","",""
"","203","Empty result for event without artworks","EventRepSuite","Sat Nov 22 06:56:31 UTC 2025","passed","Sat Nov 22 06:56:31 UTC 2025","","TestEventRep_GetCollectionsStat","",""
"","440","TestEventRep_DeleteArtworkFromEvent","","Sat Nov 22 06:56:30 UTC 2025","passed","Sat Nov 22 06:56:31 UTC 2025","","EventRepSuite","",""
"","251","TestAuthorRep_GetAll","","Sat Nov 22 06:56:34 UTC 2025","passed","Sat Nov 22 06:56:34 UTC 2025","","AuthorRepSuite","",""
"","15","Not found","EventRepSuite","Sat Nov 22 06:56:32 UTC 2025","passed","Sat Nov 22 06:56:33 UTC 2025","","TestEventRep_SetNotValid","",""
"","148","Success with title filter","ArtworkRepSuite","Sat Nov 22 06:56:35 UTC 2025","passed","Sat Nov 22 06:56:35 UTC 2025","","TestArtworkRep_GetAllArtworks","",""
"","0","TestEventService_Update","","Sat Nov 22 06:54:46 UTC 2025","passed","Sat Nov 22 06:54:46 UTC 2025","","EventServiceSuite","",""
"","14","Not found","EventRepSuite","Sat Nov 22 06:56:32 UTC 2025","passed","Sat Nov 22 06:56:32 UTC 2025","","TestEventRep_GetByID","",""
"","168","TestEmployeeRep_GetByLogin","","Sat Nov 22 06:56:34 UTC 2025","passed","Sat Nov 22 06:56:34 UTC 2025","","EmployeeRepSuite","",""
